Faction,Race,Class,Level,Count
Alliance,Draenei,Death Knight,55,103
Alliance,Draenei,Death Knight,56,46
Alliance,Draenei,Death Knight,57,44
Alliance,Draenei,Death Knight,58,155
Alliance,Draenei,Death Knight,59,71
Alliance,Draenei,Death Knight,60,107
Alliance,Draenei,Death Knight,61,50
Alliance,Draenei,Death Knight,62,49
Alliance,Draenei,Death Knight,63,46
Alliance,Draenei,Death Knight,64,55
Alliance,Draenei,Death Knight,65,44
Alliance,Draenei,Death Knight,66,38
Alliance,Draenei,Death Knight,67,42
Alliance,Draenei,Death Knight,68,51
Alliance,Draenei,Death Knight,69,46
Alliance,Draenei,Death Knight,70,49
Alliance,Draenei,Death Knight,71,41
Alliance,Draenei,Death Knight,72,35
Alliance,Draenei,Death Knight,73,37
Alliance,Draenei,Death Knight,74,31
Alliance,Draenei,Death Knight,75,23
Alliance,Draenei,Death Knight,76,26
Alliance,Draenei,Death Knight,77,21
Alliance,Draenei,Death Knight,78,35
Alliance,Draenei,Death Knight,79,16
Alliance,Draenei,Death Knight,80,116
Alliance,Draenei,Death Knight,81,60
Alliance,Draenei,Death Knight,82,41
Alliance,Draenei,Death Knight,83,58
Alliance,Draenei,Death Knight,84,50
Alliance,Draenei,Death Knight,85,621
Alliance,Draenei,Death Knight,86,304
Alliance,Draenei,Death Knight,87,283
Alliance,Draenei,Death Knight,88,199
Alliance,Draenei,Death Knight,89,164
Alliance,Draenei,Death Knight,90,3284
Alliance,Draenei,Hunter,11,19
Alliance,Draenei,Hunter,12,18
Alliance,Draenei,Hunter,13,30
Alliance,Draenei,Hunter,14,15
Alliance,Draenei,Hunter,15,17
Alliance,Draenei,Hunter,16,14
Alliance,Draenei,Hunter,17,10
Alliance,Draenei,Hunter,18,17
Alliance,Draenei,Hunter,19,20
Alliance,Draenei,Hunter,20,46
Alliance,Draenei,Hunter,21,17
Alliance,Draenei,Hunter,22,17
Alliance,Draenei,Hunter,23,21
Alliance,Draenei,Hunter,24,17
Alliance,Draenei,Hunter,25,20
Alliance,Draenei,Hunter,26,16
Alliance,Draenei,Hunter,27,13
Alliance,Draenei,Hunter,28,9
Alliance,Draenei,Hunter,29,11
Alliance,Draenei,Hunter,30,5
Alliance,Draenei,Hunter,31,9
Alliance,Draenei,Hunter,32,9
Alliance,Draenei,Hunter,33,14
Alliance,Draenei,Hunter,34,10
Alliance,Draenei,Hunter,35,6
